 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
Outstanding tensile properties of a precipitation-strengthened FeCoNiCrTi0.2 high-entropy alloy at room and cryogenic temperatures,FeCoNiCrTi0.2 high-entropy alloy,23.8,23.8,23.8,0,23.8,0,4.8,0,0,0,0,0,0,0,Yes,1373k,5 hr,Cold Rolling,20,80%,Yes,1373k,60 min,1,1073k,1 hr,Face–centered cubic (fcc) → (classification “1”),85,10,"Approximately 15 nm (lamellar thickness), with in-plane dimensions up to ~80 nm and lengths of several micrometers",<1%,1,4.1 nm (average particle radius),14.9,,,,1240,,700,,,36,,77k,1580,46,,,,,,
Phase Separation of metastable CoCrFeNi high entropy alloy at intermediate temperatures,CoCrFeNi HEA,25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750,800,fcc single-phase,Nearly 100% (XRD and SEM show a single fcc phase),,,,,,,,,,,,,,,,,,,,,,,,,
Phase Separation of metastable CoCrFeNi high entropy alloy at intermediate temperatures,CoCrFeNiAl0.1 HEA,24.4,24.4,24.4,0,24.4,2.4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,750,800,fcc solid–solution,,second fcc phase-Code 8,,,σ phase (Cr-rich)-code 6,,,,,,,,,,,,,,,,,,,,,
Precipitation and Hardness of Carbonitrides in a CrMnFeCoNi High Entropy Alloy,HEA-0,20,20,20,20,20,,,,,,,,,,1 (Yes),1100,6 hr,0,,,0,,,0,,,1 [Face‐centered cubic (FCC)],100,,,,,,,,,,,,500,,4.5 ± 0.2,,,,,,,,,,,
Precipitation and Hardness of Carbonitrides in a CrMnFeCoNi High Entropy Alloy,HEA-CN,19.4,19.4,19.4,19.4,19.4,,,,,,,,,,1 (Yes),1000,96 hr,0,,,0,,,0,,,Face-centered cubic (FCC) → Code 1,91,Hexagonal structure (the SAED data indexed the phase as hexagonal β-Cr2N) → Code 10 (HCP),40000,8,"Hexagonal structure (same Cr-rich carbonitride, here appearing at grain boundaries) → Code 10 (HCP)",3000,1,,,,,,,,4.6 ± 0.3 GPa,,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,FeCoNi MEA (equimolar) - FeCoNieH,33.3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,320,,103,,,49,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,FeCoNi MEA (equimolar) - FeCoNieHeF,33.3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,551,,454,,,26,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,FeCoNi MEA (equimolar) - FeCoNieHeF-1000A,33.3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,Yes (1),1000 °C,60 min,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,461,,155,,,40,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eH,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,592,,290,,,54,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eH-400A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,400 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,751,,435,,,49,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eH-500A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,500 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,769,,436,,,46,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eH-1000A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,1000 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,1054,,756,,,21,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,0,,,Face-Centered Cubic (fcc),100,,,,,,,,,,968,,697,,,26,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-200A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,200 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,1027,,751,,,28,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-300A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,300 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,1049,,753,,,27,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-500A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,500 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,1097,,801,,,26,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-800A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,800 °C,1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,1246,,895,,,23,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-1000A,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,Yes (1),1000 °C,1 h,1,1000 °C,1 h,Face-Centered Cubic (fcc),59.5,L12-type Ni3Ti nanoparticles,47 nm (average),40.5,,,,,,,1263,,893,,,24,,,,,,,,,,
Tailoring microstructures and tensile properties of a precipitation-strengthened (FeCoNi)94Ti6 medium-entropy alloy,(FeCoNi)94Ti6 MEA - Ti6eHeF-1000WQ,31.3,31.3,31.3,0,0,0,6,0,0,0,0,0,0,0,Yes (1),1100 °C,~2 h,0,,,0,,,1,1000 °C (soaking),1 h,Face-Centered Cubic (fcc),100,,,,,,,,,,663,,290,,,54,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_as-cast,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,B2,55 ± 2%,BCC,100 ± 18 nm,45 ± 2%,,,,,,,,,,1727,626 ± 10 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_673K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,673 K,2,B2,61 ± 4%,BCC,107 ± 15 nm,39 ± 4%,,,,,,,,,,1965,614 ± 3 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_773K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,773 K,2,B2,62 ± 3%,BCC,120 ± 14 nm,38 ± 3%,,,,,,,,,,2190,658 ± 4 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_873K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,873 K,2,B2,62 ± 5%,BCC,116 ± 11 nm,28 ± 5%,sigma phase-code 6,,10 ± 1%,,,,,,,2145,631 ± 9 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_973K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,973 K,2,Sigma,61 ± 3%,B2,223 ± 59 nm,39 ± 3%,,,,,,,,,,,840 ± 8 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_1073K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,1073 K,2,Sigma,52 ± 2%,B2,292 ± 62 nm,48 ± 2%,,,,,,,,,,,859 ± 7 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_1173K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,1173 K,2,"Mixed (sigma and FCC), FCC phase appears as a minor component in the matrix",48 ± 7%,B2,439 ± 24 nm,48 ± 7%,,,,,,,,,,,776 ± 10 HV,,,,,,,,,,,
Temperature-affected microstructural stability of coherent cuboidal B2 particles in precipitationstrengthened body-centered-cubic Al0.7CoCr2FeNi high-entropy alloy,Al0.7CoCr2FeNi_1273K,17.2,17.1,17.7,0,35,13,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,1273 K,2,FCC,52 ± 5%,"B2, sigma",409 ± 25 nm,48 ± 5%,,,,,,,,,,1306,572 ± 15 HV,,,,,,,,,,,
The formation of cellular precipitate and its effect on the tensile properties of a precipitation strengthened high entropy alloy,JC2-nTMP,18.18,27.27,27.27,0,18.18,3.31,5.78,0,0,0,0,0,0,0,Yes (1),1150,6 h,0,,,0,,,1,750,50 h,Face‐centered cubic (FCC) [Code 1],66,L12 (γ′) [Code 1],25,34,,,,,,,940,,755,,,15.8,,650,792,2,,,,,,
The formation of cellular precipitate and its effect on the tensile properties of a precipitation strengthened high entropy alloy,JC2-TMP,18.18,27.27,27.27,0,18.18,3.31,5.78,0,0,0,0,0,0,0,Yes (1),1150,6 h (after vacuum arc melting; water quenched),Yes (1) (hot forging),1100,60% (thickness reduced from 20 mm to 8 mm),Yes (1),1050,30 min (followed by water quenching),1,750,50 h,Face‐centered cubic (FCC) [Classification: 1],66,L12 γ′ precipitate [Classification: 1],25,34,,,,,,,1306,,952,,,20.5,,"350°C
650°C
750°C
850°C
1000°C","Yield Strength
891
786
734
526
126
Ultimate Tensile Strength
1123
1029
815
557
128","18.0
13.1
3.0
6.0
18.5",,,,,,
The formation of cellular precipitate and its effect on the tensile properties of a precipitation strengthened high entropy alloy,JC2-FC,18.18,27.27,27.27,0,18.18,3.31,5.78,0,0,0,0,0,0,0,Yes (1),1150,6 h (water quench),Yes (1) (hot forging),1100,60% (air-cooled),Yes (1),1050,30 min (furnace cooling instead of water quenching),1,750,50 h,Face‐Centered Cubic (FCC) (Code 1),66,L12 (γ′ phase) (Code 1),Larger than 25 nm,Large amount reported; expected near 34% (not explicitly given),,,,,,,,,,,,,,,,,,,,,,
The formation of cellular precipitate and its effect on the tensile properties of a precipitation strengthened high entropy alloy,JC2-nCo,18.18,54.54,,0,18.18,3.31,5.78,0,0,0,0,0,0,0,Yes (1),1150,6 h,Yes (1) (hot forging),1100,60% (air cooled),Yes (1),1100,30 min (followed by water quenching),1,750,30 min,Face‐Centered Cubic (FCC),,L12 (γ′) precipitate,11,,,,,,,,,,,,,,,,,,,,,,,
The tribological properties of Al0.6CoCrFeNi high-entropy alloy with the s phase precipitation at elevated temperature,Al0.6CoCrFeNi_AsCast,21.7,21.7,21.7,0,21.7,13,0,0,0,0,0,0,0,0,0,,,1,20,10,0,,,0,,,"FCC solid solution (classified as 1, i.e. face‐centered cubic)",,Mixed BCC/B2 phase (the as‐cast alloy shows 'BCC (spinodal A2 + B2)'),,,,,,,,,,,,,270,,,,,,,,,,,
The tribological properties of Al0.6CoCrFeNi high-entropy alloy with the s phase precipitation at elevated temperature,Al0.6CoCrFeNi_Annealed,21.7,21.7,21.7,0,21.7,13,0,0,0,0,0,0,0,0,0,,,1,20,10,1,850,240,0,,,FCC solid solution,,B2 phase,,,s-CrFe phase (sigma phase),,,,,,,,,,480,,,,,,,,,,,
Thermal stability and coarsening of coherent particles in a precipitation-hardened (NiCoFeCr)94Ti2Al4 high-entropy alloy,High Entropy Alloy (NiCoFeCr)94Ti2Al4 - Recrystallized,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Yes,1200,4,"Yes, Cold Rolled (70% reduction, room temperature)",20,70,Yes,1000,4 h (240 minutes),0,,,Face‐centered cubic (fcc),≈100%,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal stability and coarsening of coherent particles in a precipitation-hardened (NiCoFeCr)94Ti2Al4 high-entropy alloy,High Entropy Alloy (NiCoFeCr)94Ti2Al4 - Aged at 750°C,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Yes,1200,4,"Yes, Cold Rolled (70% reduction, room temperature)",20,70,Yes,1000,4 h (240 minutes),1,750°C,48,Face‐centered cubic (fcc),74.50%,"L12-ordered Ni3(Al,Ti)",~25 nm (observed at ~72 h),25.50%,,,,,,,,,">1000 MPa(this value is from a previous work, not in the current paper. )",,5.96 GPa (peak nanoindentation hardness),"~17%(this value is from a previous work, not in the current paper. )",,750°C,,,,,,,,
Thermal stability and coarsening of coherent particles in a precipitation-hardened (NiCoFeCr)94Ti2Al4 high-entropy alloy,High Entropy Alloy (NiCoFeCr)94Ti2Al4 - Aged at 775°C,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Yes,1200,4,"Yes, Cold Rolled (70% reduction, room temperature)",20,70,Yes,1000,4 h (240 minutes),1,775°C,24,Face‐centered cubic (fcc),82.50%,"L12-ordered Ni3(Al,Ti)",,17.50%,,,,,,,,,,,5.50 GPa (peak nanoindentation hardness),"~17%(this value is from a previous work, not in the current paper. The current paper does not report tensile ductility.)",,775°C,,,,,,,,
Thermal stability and coarsening of coherent particles in a precipitation-hardened (NiCoFeCr)94Ti2Al4 high-entropy alloy,High Entropy Alloy (NiCoFeCr)94Ti2Al4 - Aged at 800°C,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Yes,1200,4,"Yes, Cold Rolled (70% reduction, room temperature)",20,70,Yes,1000,4 h (240 minutes),1,800°C,17,Face‐centered cubic (fcc),87.30%,"L12-ordered Ni3(Al,Ti)",Representative size not explicitly stated; coarsening observed,12.70%,,,,,,,,,,,5.30 GPa (peak nanoindentation hardness),~17%,,800°C,,,,,,,,
Thermal stability and coarsening of coherent particles in a precipitation-hardened (NiCoFeCr)94Ti2Al4 high-entropy alloy,High Entropy Alloy (NiCoFeCr)94Ti2Al4 - Aged at 825°C,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Yes,1200,4,"Yes, Cold Rolled (70% reduction, room temperature)",20,70,Yes,1000,4 h (240 minutes),1,825°C,1022,Face‐centered cubic (fcc),89.90%,"L12-ordered Ni3(Al,Ti)",,10.10%,,,,,,,,,,,,,,825°C,,,,,,,,
Composition evolution of gamma prime nanoparticles in the Ti-doped CoFeCrNi high entropy alloy,CoFeCrNiTi0.2 (Bulk Alloy) - Aging for 5 minutes,23.8,23.8,23.8,0,23.8,0,4.8,0,0,0,0,0,0,0,Yes,1373,5 hours,Cold rolling,20,80,Yes,1373,1 hour,1,1073,5 minutes,Face‐Centered Cubic (FCC) (Classification: 1),"~90% [Note: With ~10% volume fraction of γ′ precipitates (see Table 03), the remaining matrix is ~90%]",L12 structure (γ′ phase) (Classification: 1),Approximately 4 ± 1 nm,10,,,,,,,,,,,290 ± 21,,,,,,,,,,,
Composition evolution of gamma prime nanoparticles in the Ti-doped CoFeCrNi high entropy alloy,CoFeCrNiTi0.2 (Bulk Alloy) - Aging for 1 hour,23.8,23.8,23.8,0,23.8,0,4.8,0,0,0,0,0,0,0,Yes,1373,5 hours,Cold rolling,20,80,Yes,1373,1 hour,1,1073,1 hour,"1 (Face‐centered cubic, i.e. the γ phase)",87,1 (L12 structure representing the γ′ phase),11 ± 2 nm,13,,,,,,,,,,,459 ± 27,,,,,,,,,,,
Composition evolution of gamma prime nanoparticles in the Ti-doped CoFeCrNi high entropy alloy,CoFeCrNiTi0.2 (Bulk Alloy) - Aging for 24 hours,23.8,23.8,23.8,0,23.8,0,4.8,0,0,0,0,0,0,0,Yes,1373,5 hours,Cold rolling,20,80,Yes,1373,1 hour,1,1073,24 hours,Face-centered cubic (FCC) [Classification Code = 1],88,L12 (γ′ phase) [Classification Code = 1],20 ± 5 nm,12,,,,,,,,,,,406 ± 22,,,,,,,,,,,
Effect of Cr content on precipitation behavior of (CoCrNi)94Ti3Al3 medium entropy alloys,Cr0.1 Alloy,0,44.84,44.59,0,4.46,2.92,3.19,0,0,0,0,0,0,0,Yes (samples homogenized at 1200 °C for 4 hr and water-quenched afterward),1200 °C,4 hr,Yes (Cold Rolling implemented with 70% thickness reduction),20 °C,70% thickness reduction,Yes (annealed at 1150 °C for 5 min to obtain a fully recrystallized microstructure and then water-quenched),1150 °C,5 min,1,750 °C,100 h,Face‐centered cubic (FCC) (classification: 1),95.1,L12 phase (classification: 1),,4.89,,,,,,,,,,,361 ± 3,,,,,,,,,,,
Effect of Cr content on precipitation behavior of (CoCrNi)94Ti3Al3 medium entropy alloys,Cr0.2 Alloy,0,42.83,42.74,0,8.64,2.6,3.19,0,0,0,0,0,0,0,Yes (samples homogenized at 1200 °C for 4 hr and water-quenched afterward),1200 °C,4 hr,Yes (Cold Rolling implemented with 70% thickness reduction),20 °C,70% thickness reduction,Yes (annealed at 1150 °C for 5 min to obtain a fully recrystallized microstructure and then water-quenched),1150 °C,5 min,1,750 °C,75 h,FCC (face‐centered cubic),90,L12 phase,,9.97,,,,,,,,,,,383 ± 5,,,,,,,,,,,
Effect of Cr content on precipitation behavior of (CoCrNi)94Ti3Al3 medium entropy alloys,Cr0.4 Alloy,0,39.67,38.84,0,15.81,2.53,3.15,0,0,0,0,0,0,0,Yes (samples homogenized at 1200 °C for 4 hr and water-quenched afterward),1200 °C,4 hr,Yes (Cold Rolling implemented with 70% thickness reduction),20 °C,70% thickness reduction,Yes (annealed at 1150 °C for 5 min to obtain a fully recrystallized microstructure and then water-quenched),1150 °C,5 min,1,750 °C,100 h,Face‐Centered Cubic (FCC) (coded as 1),83.5,L12 phase (L12 ordered intermetallic phase; coded as 1),24,16.53,,,,,,,,,,,,,,,,,,,,,,
Effect of nano-sized precipitates on the fatigue property of lamellar structured high entropy alloy,Al0.7CoCrFeNi (AH),21,21,21,0,21,15,0,0,0,0,0,0,0,0,1,1100,10,1,"1150 °C (hot rolling), 20 °C (cold rolling)",30% reduction (hot rolling) and 30% reduction (cold rolling),0,,,0,,,Face–centered cubic (FCC) (classification value = 1),65,B2 (ordered BCC) (precipitate classification: B2 = 3),1200 ± 800 nm,35,,,,,,,1040,,780,,329 ± 19,17,,,,,,,,,,
Effect of nano-sized precipitates on the fatigue property of lamellar structured high entropy alloy,Al0.7CoCrFeNi (AH + LTA),21,21,21,0,21,15,0,0,0,0,0,0,0,0,1,1100,10,1,"1150 °C (hot rolling), 20 °C (cold rolling)",30% reduction (hot rolling) and 30% reduction (cold rolling),0,,,1,580,24,Face-centered cubic (FCC) (classification value = 1),60,B2 (ordered BCC) (precipitate classification: B2 = 3),1100 ± 200 nm,40,L12,,,,,,1400,,1050,,453 ± 24,12,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni5,35,5,35,0,25,0,0,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,0,,,Face‐Centered Cubic (FCC) (Code: 1),,Hexagonal Close‐Packed (HCP) (Code: 10),,,,,,,,,961,,382,,207 HV,15,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni14,26,14,35,0,25,0,0,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,0,,,Face‐Centered Cubic (FCC) (Code: 1),100,,,,,,,,,,871 ± 5 MPa,,296 ± 3 MPa,,,55.0 ± 1%,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni5-TA_800C_2h,32.9,4.7,32.9,0,23.5,3,3,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,1,800,2,Face‐Centered Cubic (FCC) (Code: 1),Nearly 100%,L21 Heusler phase,Approximately 0.2 μm,,,,,,,,791 ± 6 MPa,,285 ± 5 MPa,,245 HV,68.5 ± 1%,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni5-TA_800C_16h,32.9,4.7,32.9,0,23.5,3,3,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,1,800,16,Face‐Centered Cubic (FCC) (Code: 1),Nearly 100%,L21 Heusler phase,Approximately 0.4 μm,,,,,,,,816 ± 3 MPa,,294 ± 4 MPa,,252 HV,51.1 ± 2%,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni14-TA_800C_2h,24.4,13.2,32.9,0,23.5,3,3,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,1,800,2,Face‐Centered Cubic (FCC) (Code: 1),Approximately 96.4%,Heusler phase,Approximately 0.15 μm,,,,,,,,925 ± 2 MPa,,425 ± 4 MPa,,266 HV,53.3 ± 2%,,,,,,,,,,
Effects of Al and Ti additions on precipitation behavior and mechanical properties of Co35Cr25Fe40-xNix TRIP high entropy alloys,Ni14-TA_800C_16h,24.4,13.2,32.9,0,23.5,3,3,0,0,0,0,0,0,0,Performed,1200,4 hours,Cold rolling,20,67,Annealing,1150,5 minutes,1,800,16,Face‐Centered Cubic (FCC) (Code: 1),Approximately 96.4%,Heusler phase,Approximately 0.30 μm,,L12 phase,Approximately 35 nm,,,,,929 ± 5 MPa,,447 ± 5 MPa,,286 HV,41.2 ± 2%,,,,,,,,,,
Exceptional nanostructure stability and its origins in the CoCrNi-based precipitation-strengthened medium-entropy alloy,(CoCrNi)94Al3Ti3 MEA (As-Recrystallized),0,31.3,31.3,0,31.3,3,3,0,0,0,0,0,0,0,Yes (1),1200,2 h,Cold rolling (∼66% reduction),20,66,Yes (1),1160,3 min,0,,,Face‐Centered Cubic (FCC) (classification code = 1),100,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional nanostructure stability and its origins in the CoCrNi-based precipitation-strengthened medium-entropy alloy,(CoCrNi)94Al3Ti3 MEA (Aged),0,31.3,31.3,0,31.3,3,3,0,0,0,0,0,0,0,Yes (1),1200,2 h,Cold rolling (∼66% reduction),20,66,Yes (1),1160,3 min,1,800,Ranged from 2 h up to 360 h,Face‐Centered Cubic (FCC) (classification code = 1),84,L12-type γ′ phase,5.9 ± 0.6 nm (4 h) to 25.7 ± 5.2 nm (360 h),16,,,,,,,,,,,,,,,,,,,,,,
Heterogeneous precipitation mediated heterogeneous nanostructure enhances strengthductility synergy in severely cryorolled and annealed CoCrFeNi2.1Nb0.2 high entropy alloy,CoCrFeNi2.1Nb0.2,18.87,39.62,18.87,0,18.87,0,0,0,0,0,3.77,0,0,0,1,1200,24,0,,,0,,,0,,,1,92,11,5000-10000,7,Nb-rich FCC,,1,,,,600,,,,,40,,,,,,,,,,
Heterogeneous precipitation mediated heterogeneous nanostructure enhances strengthductility synergy in severely cryorolled and annealed CoCrFeNi2.1Nb0.2 high entropy alloy,CoCrFeNi2.1Nb0.2 (Cold Rolled and Annealed),18.87,39.62,18.87,0,18.87,0,0,0,0,0,3.77,0,0,0,Yes,1200,24 h,Cold Rolling,20,90,Yes,800,1 h,0,,,1,82,ε-phase,125 ± 40 nm,11,11,1000 nm,6,Nb-rich FCC,,1,1085 ± 18 MPa,,774 ± 13 MPa,,,Approximately 20%,,,,,,,,,,
Heterogeneous precipitation mediated heterogeneous nanostructure enhances strengthductility synergy in severely cryorolled and annealed CoCrFeNi2.1Nb0.2 high entropy alloy,CoCrFeNi2.1Nb0.2 (Cryo Rolled and Annealed),18.87,39.62,18.87,0,18.87,0,0,0,0,0,3.77,0,0,0,Yes,1200,24 h,Cryo Rolling,20,90,Yes,800,1 h,0,,,1,75,ε-phase,97 ± 36 nm,18,11,680,6,Nb-rich FCC,,1,1272 ± 25 MPa,,1219 ± 14 MPa,,,~22%,,,,,,,,,,
High-strength and high-ductility AlCoCrFeNi2.1 eutectic high-entropy alloy achieved via precipitation strengthening in a heterogeneous structure,AlCoCrFeNi2.1_AC,16.4,34.4,16.4,0,16.4,16.4,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,FCC,50,B2 lamellae,,,,,,,,,1088.4,,646.4,,,17.2,,,,,,,,,,
High-strength and high-ductility AlCoCrFeNi2.1 eutectic high-entropy alloy achieved via precipitation strengthening in a heterogeneous structure,AlCoCrFeNi2.1_CR-R,16.4,34.4,16.4,0,16.4,16.4,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1000,60,0,,,Face-Centered Cubic (FCC),50,,,,,,,,,,1147.7,,732.3,,,24.6,,,,,,,,,,
High-strength and high-ductility AlCoCrFeNi2.1 eutectic high-entropy alloy achieved via precipitation strengthening in a heterogeneous structure,AlCoCrFeNi2.1_CR-R-A,16.4,34.4,16.4,0,16.4,16.4,0,0,0,0,0,0,0,0,0,,,1,20,70,1,1000,60,1,600,50,Face-Centered Cubic (FCC),,3,810,32.1,1,3.4,25.4,7,6.6,17.9,1475.6,,1008.8,,,19.2,,,,,,,,,,
